STOK KODU;BUFFER;DEPO;PASİF
34646-100;Kalacak;;
34647-100;;;
34648-100;;;
34649-100;;;
34650-100;;;
34651-100;Kalacak;;
34652-100;;;
34653-100;;;
34654-100;;;
34655-100;Kalacak;;
34656-200;Kalacak;;
34657-100;;;
34658-100;;;
34659-200;;;
34660-200;;;
34661-200;Kalacak;;
34662-200;Kalacak;;
34663-200;Kalacak;;
34664-200;Kalacak;;
34665-200;;;
10001-200;;;
10004-200;;;
28106-200;;;5
28138-200;Kalacak;;
28139-200;;2;
01650-200;Kalacak;;
00005-100;;;
00017-100;;;
01042-100;;;5
00101-100;Kalacak;;
00104-200;;;5
00113-100;;;
00117-200;;;5
00118-100;;2;
00120-200;Kalacak;;
00121-200;Kalacak;;
00816-100;;;5
00823-100;Kalacak;;
00827-200;;;5
00828-100;Kalacak;;
00829-100;;;5
00830-100;;;5
00833-100;;2;
00835-100;;2;
00837-100;Kalacak;;
00840-100;;2;
00846-200;;2;
00849-200;Kalacak;;
00922-100;Kalacak;;
00923-100;Kalacak;;
00817-200;Kalacak;;
00818-200;;2;
00819-100;Kalacak;;
00820-200;Kalacak;;
00821-100;Kalacak;;
00822-200;Kalacak;;
00824-100;Kalacak;;
00825-200;Kalacak;;
00826-200;Kalacak;;
00838-100;Kalacak;;
00775-200;Kalacak;;
00800-200;Kalacak;;
00801-200;;;
00802-200;Kalacak;;
00803-200;Kalacak;;
00804-200;Kalacak;;
00806-200;Kalacak;;
00807-200;Kalacak;;
00808-200;Kalacak;;
00809-200;Kalacak;;
00810-200;Kalacak;;
00811-200;Kalacak;;
00812-200;Kalacak;;
00813-200;Kalacak;;
00841-200;Kalacak;;
00842-200;Kalacak;;
00843-200;;2;
00844-200;Kalacak;;
00845-200;;2;
00847-200;;2;
00848-200;;2;
00920-100;Kalacak;;
00924-200;Kalacak;;
00926-200;Kalacak;;
00929-200;Kalacak;;
39100-100;;;5
39101-100;;2;
01043-100;;;5
37100-100;;;
37101-100;;;
37102-100;;;
37103-100;Kalacak;;
37104-100;Kalacak;;
37105-100;Kalacak;;
37106-100;Kalacak;;
37107-100;Kalacak;;
37108-100;Kalacak;;
37109-100;;;
37110-100;Kalacak;;
37111-100;Kalacak;;
37112-100;Kalacak;;
37113-100;Kalacak;;
37114-100;Kalacak;;
37115-100;Kalacak;;
37116-100;Kalacak;;
37117-100;Kalacak;;
37118-100;;;
37119-100;Kalacak;;
37120-100;Kalacak;;
37121-100;Kalacak;;
37122-100;Kalacak;;
37123-100;Kalacak;;
37124-100;Kalacak;;
37125-100;Kalacak;;
37126-100;Kalacak;;
37127-100;Kalacak;;
37128-100;;;
37129-100;;;
37130-100;Kalacak;;
37131-100;;;
37132-100;;;5
37133-100;;;5
37134-100;;2;
37135-100;;2;
37136-100;Kalacak;;
37137-100;;2;
37138-100;;2;
37139-100;;2;
37140-100;;2;
37141-100;;2;
37142-100;Kalacak;;
37143-100;;2;
37144-100;Kalacak;;
37145-100;Kalacak;;
37146-100;Kalacak;;
37147-100;Kalacak;;
37148-100;Kalacak;;
37149-100;Kalacak;;
37150-100;;2;
37151-100;Kalacak;;
37152-100;;2;
37153-100;;2;
37154-100;;2;
37155-100;Kalacak;;
37156-100;;2;
37157-100;Kalacak;;
37158-100;;2;
37159-100;Kalacak;;
37160-100;;2;
37161-100;Kalacak;;
